epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,5375.43,0.43986,0.24037,0.0011,0.98486,0.98988,0.99189,0.96298,0.30564,0.1145,0.00089,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,5544.82,0.44109,0.23923,0.00111,0.9825,0.98984,0.99194,0.96333,0.30359,0.11398,0.00088,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,5714.1,0.44047,0.23429,0.0011,0.98602,0.98729,0.99205,0.96361,0.30389,0.11432,0.00089,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,5883.72,0.43824,0.23596,0.0011,0.98767,0.98872,0.99251,0.96377,0.30398,0.11165,0.00088,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,6054.34,0.43629,0.23708,0.00109,0.98727,0.98675,0.99182,0.96375,0.30149,0.11334,0.00088,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,6223.88,0.43651,0.23563,0.00109,0.98551,0.98981,0.99216,0.96462,0.3012,0.11284,0.00088,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,6393.24,0.43858,0.23493,0.00109,0.98593,0.98902,0.99234,0.96602,0.29827,0.11108,0.00087,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,6562.85,0.43317,0.2353,0.00108,0.98646,0.99011,0.9922,0.96578,0.29705,0.11072,0.00086,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,6732.34,0.43565,0.23019,0.00109,0.98628,0.98996,0.99236,0.96643,0.29666,0.10972,0.00086,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,6902.08,0.43371,0.23033,0.00108,0.98928,0.99081,0.99281,0.96731,0.29543,0.10801,0.00086,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,7071.53,0.44038,0.23698,0.00111,0.98883,0.99009,0.99246,0.96757,0.29482,0.1078,0.00085,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,7241.68,0.43333,0.22926,0.00108,0.99132,0.98878,0.99292,0.96826,0.29452,0.10626,0.00086,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,7411.37,0.43238,0.22661,0.00107,0.99188,0.98704,0.9929,0.96801,0.29412,0.10688,0.00085,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,7581.19,0.43131,0.22695,0.00108,0.98981,0.99061,0.99307,0.96792,0.29443,0.10639,0.00085,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,7750.48,0.43025,0.22745,0.00109,0.99135,0.99084,0.99318,0.96838,0.29342,0.10503,0.00085,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,7920.61,0.4277,0.22277,0.00106,0.99026,0.99213,0.99329,0.9688,0.29253,0.10502,0.00085,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,8090.25,0.4255,0.22038,0.00106,0.99081,0.99082,0.99346,0.96947,0.29188,0.10495,0.00085,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,8259.71,0.4316,0.22319,0.00107,0.99176,0.99075,0.99326,0.96963,0.29145,0.1049,0.00084,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,8429.08,0.42772,0.22228,0.00107,0.99139,0.99074,0.9935,0.97037,0.29038,0.10419,0.00084,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,8598.43,0.42299,0.21824,0.00106,0.99077,0.9907,0.99353,0.97061,0.2899,0.10387,0.00084,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,8767.94,0.43022,0.22214,0.00106,0.98985,0.99098,0.99341,0.97034,0.28955,0.10408,0.00084,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
